区县中文名称,区县,年份,月份,高温,低温,平均气温,总降水量
万州,wanzhou,2025,2025年04月,28.0,17.0,22.5,6.0
万州,wanzhou,2025,2025年05月,30.0,20.0,25.0,12.3
万州,wanzhou,2025,2025年06月,32.0,22.0,27.0,407.3
万州,wanzhou,2025,2025年07月,37.0,26.0,31.5,243.2
万州,wanzhou,2025,2025年08月,37.0,26.0,31.5,515.8
涪陵,fuling,2025,2024年09月,36.0,25.0,30.5,43.0
涪陵,fuling,2025,2024年10月,23.0,15.0,19.0,52.8
涪陵,fuling,2025,2024年11月,18.0,12.0,15.0,55.2
涪陵,fuling,2025,2024年12月,11.0,6.0,8.5,12.7
涪陵,fuling,2025,2025年01月,12.0,6.0,9.0,3.7
涪陵,fuling,2025,2025年02月,13.0,6.0,9.5,7.5
涪陵,fuling,2025,2025年03月,19.0,10.0,14.5,74.8
涪陵,fuling,2025,2025年04月,27.0,16.0,21.5,184.8
涪陵,fuling,2025,2025年05月,29.0,19.0,24.0,103.0
涪陵,fuling,2025,2025年06月,31.0,22.0,26.5,173.6
涪陵,fuling,2025,2025年07月,36.0,25.0,30.5,864.6
涪陵,fuling,2025,2025年08月,37.0,26.0,31.5,449.0
城口,chengkou,2025,2024年09月,33.0,19.0,26.0,34.1
城口,chengkou,2025,2024年10月,21.0,10.0,15.5,1.0
城口,chengkou,2025,2024年11月,15.0,5.0,10.0,4.6
城口,chengkou,2025,2024年12月,9.0,0.0,4.5,0.0
城口,chengkou,2025,2025年01月,10.0,-0.0,5.0,6.4
城口,chengkou,2025,2025年02月,11.0,-0.0,5.5,3.0
城口,chengkou,2025,2025年03月,16.0,5.0,10.5,0.0
城口,chengkou,2025,2025年04月,26.0,11.0,18.5,12.1
城口,chengkou,2025,2025年05月,29.0,15.0,22.0,18.6
城口,chengkou,2025,2025年06月,30.0,17.0,23.5,402.5
城口,chengkou,2025,2025年07月,34.0,22.0,28.0,413.5
城口,chengkou,2025,2025年08月,35.0,22.0,28.5,587.8
云阳,yunyang,2025,2024年09月,38.0,25.0,31.5,0.0
云阳,yunyang,2025,2024年10月,24.0,16.0,20.0,5.1
云阳,yunyang,2025,2024年11月,19.0,12.0,15.5,76.1
云阳,yunyang,2025,2024年12月,12.0,6.0,9.0,4.5
云阳,yunyang,2025,2025年01月,14.0,6.0,10.0,6.5
云阳,yunyang,2025,2025年02月,14.0,6.0,10.0,3.6
云阳,yunyang,2025,2025年03月,19.0,9.0,14.0,7.2
云阳,yunyang,2025,2025年04月,28.0,16.0,22.0,16.4
云阳,yunyang,2025,2025年05月,31.0,19.0,25.0,32.0
云阳,yunyang,2025,2025年06月,32.0,21.0,26.5,406.6
云阳,yunyang,2025,2025年07月,38.0,26.0,32.0,222.1
云阳,yunyang,2025,2025年08月,37.0,26.0,31.5,527.1
巫溪,wuxi,2025,2024年09月,38.0,23.0,30.5,0.0
巫溪,wuxi,2025,2024年10月,25.0,13.0,19.0,6.6
巫溪,wuxi,2025,2024年11月,18.0,9.0,13.5,27.9
巫溪,wuxi,2025,2024年12月,12.0,3.0,7.5,5.0
巫溪,wuxi,2025,2025年01月,14.0,3.0,8.5,10.2
巫溪,wuxi,2025,2025年02月,14.0,2.0,8.0,0.9
巫溪,wuxi,2025,2025年03月,20.0,8.0,14.0,1.9
巫溪,wuxi,2025,2025年04月,29.0,15.0,22.0,25.7
巫溪,wuxi,2025,2025年05月,32.0,18.0,25.0,70.4
巫溪,wuxi,2025,2025年06月,33.0,21.0,27.0,363.3
巫溪,wuxi,2025,2025年07月,39.0,26.0,32.5,431.4
巫溪,wuxi,2025,2025年08月,38.0,26.0,32.0,647.5
奉节,fengjie,2025,2024年09月,37.0,25.0,31.0,0.0
奉节,fengjie,2025,2024年10月,25.0,15.0,20.0,0.4
奉节,fengjie,2025,2024年11月,19.0,11.0,15.0,39.0
奉节,fengjie,2025,2024年12月,12.0,5.0,8.5,1.5
奉节,fengjie,2025,2025年01月,14.0,5.0,9.5,14.1
奉节,fengjie,2025,2025年02月,14.0,4.0,9.0,5.7
奉节,fengjie,2025,2025年03月,19.0,9.0,14.0,10.4
奉节,fengjie,2025,2025年04月,28.0,15.0,21.5,10.0
奉节,fengjie,2025,2025年05月,31.0,18.0,24.5,106.1
奉节,fengjie,2025,2025年06月,32.0,21.0,26.5,279.6
奉节,fengjie,2025,2025年07月,38.0,26.0,32.0,334.8
奉节,fengjie,2025,2025年08月,37.0,26.0,31.5,443.7
潼南,tongnan,2025,2024年09月,37.0,24.0,30.5,49.1
潼南,tongnan,2025,2024年10月,23.0,16.0,19.5,50.6
潼南,tongnan,2025,2024年11月,18.0,12.0,15.0,16.8
潼南,tongnan,2025,2024年12月,12.0,6.0,9.0,1.9
潼南,tongnan,2025,2025年01月,12.0,5.0,8.5,3.9
潼南,tongnan,2025,2025年02月,13.0,6.0,9.5,6.5
潼南,tongnan,2025,2025年03月,18.0,9.0,13.5,62.0
潼南,tongnan,2025,2025年04月,27.0,16.0,21.5,61.5
潼南,tongnan,2025,2025年05月,31.0,20.0,25.5,60.1
潼南,tongnan,2025,2025年06月,34.0,22.0,28.0,163.7
潼南,tongnan,2025,2025年07月,36.0,25.0,30.5,467.5
潼南,tongnan,2025,2025年08月,36.0,26.0,31.0,464.5
垫江,dianjiang,2025,2024年09月,36.0,24.0,30.0,4.9
垫江,dianjiang,2025,2024年10月,22.0,14.0,18.0,45.5
垫江,dianjiang,2025,2024年11月,17.0,11.0,14.0,12.4
垫江,dianjiang,2025,2024年12月,11.0,5.0,8.0,3.2
垫江,dianjiang,2025,2025年01月,12.0,4.0,8.0,5.2
垫江,dianjiang,2025,2025年02月,11.0,4.0,7.5,23.9
垫江,dianjiang,2025,2025年03月,17.0,8.0,12.5,28.5
垫江,dianjiang,2025,2025年04月,26.0,14.0,20.0,36.8
垫江,dianjiang,2025,2025年05月,29.0,18.0,23.5,14.0
垫江,dianjiang,2025,2025年06月,30.0,20.0,25.0,235.5
垫江,dianjiang,2025,2025年07月,35.0,24.0,29.5,995.4
垫江,dianjiang,2025,2025年08月,36.0,24.0,30.0,440.2
梁平,liangping,2025,2024年09月,36.0,24.0,30.0,1.0
梁平,liangping,2025,2024年10月,23.0,15.0,19.0,14.9
梁平,liangping,2025,2024年11月,17.0,11.0,14.0,5.7
梁平,liangping,2025,2024年12月,11.0,4.0,7.5,2.9
梁平,liangping,2025,2025年01月,12.0,3.0,7.5,2.9
梁平,liangping,2025,2025年02月,12.0,4.0,8.0,6.6
梁平,liangping,2025,2025年03月,18.0,8.0,13.0,7.0
梁平,liangping,2025,2025年04月,26.0,14.0,20.0,6.1
梁平,liangping,2025,2025年05月,29.0,18.0,23.5,28.7
梁平,liangping,2025,2025年06月,31.0,21.0,26.0,515.9
梁平,liangping,2025,2025年07月,36.0,24.0,30.0,561.9
梁平,liangping,2025,2025年08月,36.0,25.0,30.5,373.4
大足,dazu,2025,2024年09月,35.0,25.0,30.0,1.0
大足,dazu,2025,2024年10月,22.0,16.0,19.0,51.1
大足,dazu,2025,2024年11月,17.0,13.0,15.0,41.8
大足,dazu,2025,2024年12月,11.0,6.0,8.5,15.6
大足,dazu,2025,2025年01月,12.0,6.0,9.0,16.2
大足,dazu,2025,2025年02月,12.0,7.0,9.5,11.3
大足,dazu,2025,2025年03月,17.0,9.0,13.0,87.4
大足,dazu,2025,2025年04月,26.0,16.0,21.0,27.1
大足,dazu,2025,2025年05月,28.0,19.0,23.5,28.7
大足,dazu,2025,2025年06月,32.0,21.0,26.5,303.2
大足,dazu,2025,2025年07月,34.0,24.0,29.0,533.4
大足,dazu,2025,2025年08月,35.0,25.0,30.0,365.4
荣昌,rongchang,2025,2024年09月,36.0,25.0,30.5,0.4
荣昌,rongchang,2025,2024年10月,23.0,16.0,19.5,41.8
荣昌,rongchang,2025,2024年11月,18.0,13.0,15.5,26.9
荣昌,rongchang,2025,2024年12月,11.0,6.0,8.5,17.8
荣昌,rongchang,2025,2025年01月,12.0,6.0,9.0,15.3
荣昌,rongchang,2025,2025年02月,12.0,7.0,9.5,10.4
荣昌,rongchang,2025,2025年03月,18.0,9.0,13.5,53.5
荣昌,rongchang,2025,2025年04月,26.0,16.0,21.0,61.9
荣昌,rongchang,2025,2025年05月,29.0,19.0,24.0,25.4
荣昌,rongchang,2025,2025年06月,33.0,22.0,27.5,408.0
荣昌,rongchang,2025,2025年07月,35.0,24.0,29.5,634.9
荣昌,rongchang,2025,2025年08月,36.0,25.0,30.5,388.4
铜梁,tongliang,2025,2024年09月,36.0,25.0,30.5,8.1
铜梁,tongliang,2025,2024年10月,23.0,16.0,19.5,21.8
铜梁,tongliang,2025,2024年11月,18.0,12.0,15.0,17.6
铜梁,tongliang,2025,2024年12月,12.0,6.0,9.0,12.7
铜梁,tongliang,2025,2025年01月,12.0,6.0,9.0,14.0
铜梁,tongliang,2025,2025年02月,13.0,7.0,10.0,3.4
铜梁,tongliang,2025,2025年03月,17.0,9.0,13.0,33.6
铜梁,tongliang,2025,2025年04月,26.0,16.0,21.0,125.8
铜梁,tongliang,2025,2025年05月,30.0,20.0,25.0,37.4
铜梁,tongliang,2025,2025年06月,32.0,22.0,27.0,308.2
铜梁,tongliang,2025,2025年07月,35.0,25.0,30.0,591.2
铜梁,tongliang,2025,2025年08月,36.0,26.0,31.0,560.3
璧山,bishan,2025,2024年09月,37.0,26.0,31.5,6.0
璧山,bishan,2025,2024年10月,23.0,17.0,20.0,32.2
璧山,bishan,2025,2024年11月,18.0,13.0,15.5,23.1
璧山,bishan,2025,2024年12月,12.0,7.0,9.5,4.2
璧山,bishan,2025,2025年01月,13.0,6.0,9.5,12.1
璧山,bishan,2025,2025年02月,13.0,7.0,10.0,3.5
璧山,bishan,2025,2025年03月,18.0,10.0,14.0,105.9
璧山,bishan,2025,2025年04月,27.0,16.0,21.5,22.1
璧山,bishan,2025,2025年05月,30.0,20.0,25.0,35.1
璧山,bishan,2025,2025年06月,33.0,23.0,28.0,167.6
璧山,bishan,2025,2025年07月,35.0,25.0,30.0,527.6
璧山,bishan,2025,2025年08月,36.0,27.0,31.5,441.0
丰都,fengdu,2025,2024年09月,37.0,25.0,31.0,31.2
丰都,fengdu,2025,2024年10月,23.0,15.0,19.0,38.3
丰都,fengdu,2025,2024年11月,18.0,12.0,15.0,15.1
丰都,fengdu,2025,2024年12月,11.0,6.0,8.5,0.4
丰都,fengdu,2025,2025年01月,12.0,5.0,8.5,10.3
丰都,fengdu,2025,2025年02月,13.0,5.0,9.0,2.8
丰都,fengdu,2025,2025年03月,19.0,10.0,14.5,31.7
丰都,fengdu,2025,2025年04月,28.0,17.0,22.5,94.5
丰都,fengdu,2025,2025年05月,30.0,20.0,25.0,40.1
丰都,fengdu,2025,2025年06月,32.0,22.0,27.0,280.2
丰都,fengdu,2025,2025年07月,37.0,27.0,32.0,677.4
丰都,fengdu,2025,2025年08月,39.0,27.0,33.0,353.6
武隆,wulong,2025,2024年09月,35.0,23.0,29.0,17.0
武隆,wulong,2025,2024年10月,23.0,14.0,18.5,117.8
武隆,wulong,2025,2024年11月,18.0,10.0,14.0,106.9
武隆,wulong,2025,2024年12月,11.0,4.0,7.5,8.7
武隆,wulong,2025,2025年01月,13.0,5.0,9.0,6.7
武隆,wulong,2025,2025年02月,12.0,4.0,8.0,9.5
武隆,wulong,2025,2025年03月,19.0,10.0,14.5,27.4
武隆,wulong,2025,2025年04月,27.0,16.0,21.5,5.5
武隆,wulong,2025,2025年05月,29.0,18.0,23.5,67.8
武隆,wulong,2025,2025年06月,31.0,22.0,26.5,480.2
武隆,wulong,2025,2025年07月,36.0,25.0,30.5,541.1
武隆,wulong,2025,2025年08月,36.0,26.0,31.0,488.8
綦江,qijiang,2025,2024年09月,37.0,24.0,30.5,28.7
綦江,qijiang,2025,2024年10月,23.0,16.0,19.5,42.2
綦江,qijiang,2025,2024年11月,17.0,12.0,14.5,47.9
綦江,qijiang,2025,2024年12月,12.0,6.0,9.0,0.9
綦江,qijiang,2025,2025年01月,13.0,6.0,9.5,14.8
綦江,qijiang,2025,2025年02月,13.0,6.0,9.5,16.1
綦江,qijiang,2025,2025年03月,18.0,11.0,14.5,52.8
綦江,qijiang,2025,2025年04月,27.0,16.0,21.5,34.8
綦江,qijiang,2025,2025年05月,29.0,20.0,24.5,35.9
綦江,qijiang,2025,2025年06月,32.0,22.0,27.0,425.1
綦江,qijiang,2025,2025年07月,35.0,25.0,30.0,739.9
綦江,qijiang,2025,2025年08月,38.0,26.0,32.0,235.7
忠县,zhongxian,2025,2024年09月,36.0,24.0,30.0,50.8
忠县,zhongxian,2025,2024年10月,23.0,15.0,19.0,30.4
忠县,zhongxian,2025,2024年11月,18.0,12.0,15.0,20.2
忠县,zhongxian,2025,2024年12月,11.0,6.0,8.5,1.9
忠县,zhongxian,2025,2025年01月,12.0,5.0,8.5,6.6
忠县,zhongxian,2025,2025年02月,12.0,6.0,9.0,11.1
忠县,zhongxian,2025,2025年03月,18.0,9.0,13.5,15.1
忠县,zhongxian,2025,2025年04月,27.0,15.0,21.0,17.5
忠县,zhongxian,2025,2025年05月,29.0,19.0,24.0,59.2
忠县,zhongxian,2025,2025年06月,31.0,21.0,26.0,230.1
忠县,zhongxian,2025,2025年07月,36.0,25.0,30.5,527.6
忠县,zhongxian,2025,2025年08月,38.0,26.0,32.0,376.1
巫山,wushan,2025,2024年09月,35.0,23.0,29.0,1.0
巫山,wushan,2025,2024年10月,23.0,13.0,18.0,0.2
巫山,wushan,2025,2024年11月,17.0,9.0,13.0,19.5
巫山,wushan,2025,2024年12月,11.0,3.0,7.0,5.7
巫山,wushan,2025,2025年01月,12.0,3.0,7.5,6.2
巫山,wushan,2025,2025年02月,12.0,3.0,7.5,0.7
巫山,wushan,2025,2025年03月,18.0,7.0,12.5,8.2
巫山,wushan,2025,2025年04月,27.0,14.0,20.5,18.5
巫山,wushan,2025,2025年05月,29.0,17.0,23.0,82.7
巫山,wushan,2025,2025年06月,31.0,19.0,25.0,254.8
巫山,wushan,2025,2025年07月,37.0,24.0,30.5,309.3
巫山,wushan,2025,2025年08月,36.0,25.0,30.5,717.1
石柱,shizhu,2025,2024年09月,35.0,22.0,28.5,32.5
石柱,shizhu,2025,2024年10月,22.0,13.0,17.5,38.7
石柱,shizhu,2025,2024年11月,17.0,10.0,13.5,21.2
石柱,shizhu,2025,2024年12月,10.0,4.0,7.0,0.4
石柱,shizhu,2025,2025年01月,12.0,3.0,7.5,7.7
石柱,shizhu,2025,2025年02月,11.0,3.0,7.0,7.3
石柱,shizhu,2025,2025年03月,17.0,7.0,12.0,16.8
石柱,shizhu,2025,2025年04月,25.0,13.0,19.0,42.7
石柱,shizhu,2025,2025年05月,28.0,16.0,22.0,23.4
石柱,shizhu,2025,2025年06月,30.0,20.0,25.0,404.0
石柱,shizhu,2025,2025年07月,35.0,23.0,29.0,599.9
石柱,shizhu,2025,2025年08月,35.0,24.0,29.5,591.4
秀山,xiushan,2025,2024年09月,32.0,21.0,26.5,26.3
秀山,xiushan,2025,2024年10月,22.0,13.0,17.5,5.3
秀山,xiushan,2025,2024年11月,19.0,10.0,14.5,13.8
秀山,xiushan,2025,2024年12月,10.0,3.0,6.5,15.7
秀山,xiushan,2025,2025年01月,13.0,3.0,8.0,8.3
秀山,xiushan,2025,2025年02月,10.0,3.0,6.5,69.4
秀山,xiushan,2025,2025年03月,18.0,8.0,13.0,62.2
秀山,xiushan,2025,2025年04月,26.0,15.0,20.5,40.4
秀山,xiushan,2025,2025年05月,28.0,17.0,22.5,37.4
秀山,xiushan,2025,2025年06月,30.0,21.0,25.5,380.7
秀山,xiushan,2025,2025年07月,34.0,24.0,29.0,583.1
秀山,xiushan,2025,2025年08月,34.0,24.0,29.0,480.3
酉阳,youyang,2025,2024年09月,33.0,20.0,26.5,36.7
酉阳,youyang,2025,2024年10月,22.0,12.0,17.0,48.2
酉阳,youyang,2025,2024年11月,18.0,9.0,13.5,13.3
酉阳,youyang,2025,2024年12月,10.0,2.0,6.0,5.7
酉阳,youyang,2025,2025年01月,12.0,2.0,7.0,9.3
酉阳,youyang,2025,2025年02月,10.0,2.0,6.0,16.7
酉阳,youyang,2025,2025年03月,17.0,7.0,12.0,61.9
酉阳,youyang,2025,2025年04月,26.0,13.0,19.5,28.9
酉阳,youyang,2025,2025年05月,27.0,16.0,21.5,71.1
酉阳,youyang,2025,2025年06月,29.0,19.0,24.0,481.1
酉阳,youyang,2025,2025年07月,35.0,23.0,29.0,456.8
酉阳,youyang,2025,2025年08月,34.0,23.0,28.5,525.6
彭水,pengshui,2025,2024年09月,34.0,23.0,28.5,65.4
彭水,pengshui,2025,2024年10月,22.0,14.0,18.0,205.1
彭水,pengshui,2025,2024年11月,19.0,11.0,15.0,164.8
彭水,pengshui,2025,2024年12月,11.0,5.0,8.0,20.6
彭水,pengshui,2025,2025年01月,13.0,5.0,9.0,30.6
彭水,pengshui,2025,2025年02月,11.0,4.0,7.5,29.9
彭水,pengshui,2025,2025年03月,18.0,9.0,13.5,46.3
彭水,pengshui,2025,2025年04月,27.0,15.0,21.0,16.2
彭水,pengshui,2025,2025年05月,29.0,18.0,23.5,67.9
彭水,pengshui,2025,2025年06月,31.0,22.0,26.5,312.4
彭水,pengshui,2025,2025年07月,36.0,25.0,30.5,756.4
彭水,pengshui,2025,2025年08月,36.0,25.0,30.5,542.6
开州,kaizhou,2025,2024年09月,39.0,24.0,31.5,0.6
开州,kaizhou,2025,2024年10月,24.0,15.0,19.5,21.8
开州,kaizhou,2025,2024年11月,19.0,11.0,15.0,28.0
开州,kaizhou,2025,2024年12月,12.0,5.0,8.5,2.0
开州,kaizhou,2025,2025年01月,13.0,5.0,9.0,14.9
开州,kaizhou,2025,2025年02月,13.0,6.0,9.5,0.4
开州,kaizhou,2025,2025年03月,19.0,10.0,14.5,26.6
开州,kaizhou,2025,2025年04月,28.0,17.0,22.5,42.8
开州,kaizhou,2025,2025年05月,31.0,20.0,25.5,78.7
开州,kaizhou,2025,2025年06月,32.0,22.0,27.0,378.1
开州,kaizhou,2025,2025年07月,39.0,26.0,32.5,445.0
开州,kaizhou,2025,2025年08月,38.0,26.0,32.0,480.9
万盛,wansheng,2025,2024年09月,36.0,23.0,29.5,42.5
万盛,wansheng,2025,2024年10月,22.0,14.0,18.0,50.3
万盛,wansheng,2025,2024年11月,17.0,11.0,14.0,47.3
万盛,wansheng,2025,2024年12月,11.0,5.0,8.0,1.0
万盛,wansheng,2025,2025年01月,12.0,5.0,8.5,13.0
万盛,wansheng,2025,2025年02月,12.0,5.0,8.5,7.3
万盛,wansheng,2025,2025年03月,18.0,10.0,14.0,247.1
万盛,wansheng,2025,2025年04月,27.0,16.0,21.5,32.3
万盛,wansheng,2025,2025年05月,29.0,19.0,24.0,32.9
万盛,wansheng,2025,2025年06月,31.0,22.0,26.5,266.3
万盛,wansheng,2025,2025年07月,35.0,25.0,30.0,1108.4
万盛,wansheng,2025,2025年08月,37.0,26.0,31.5,421.4
开县,kaixian,2025,2024年09月,38.0,25.0,31.5,9.7
开县,kaixian,2025,2024年10月,24.0,15.0,19.5,45.8
开县,kaixian,2025,2024年11月,18.0,11.0,14.5,11.2
开县,kaixian,2025,2024年12月,12.0,5.0,8.5,5.4
开县,kaixian,2025,2025年01月,13.0,5.0,9.0,11.9
开县,kaixian,2025,2025年02月,13.0,6.0,9.5,1.0
开县,kaixian,2025,2025年03月,19.0,10.0,14.5,4.5
开县,kaixian,2025,2025年04月,28.0,17.0,22.5,8.1
开县,kaixian,2025,2025年05月,31.0,20.0,25.5,37.0
开县,kaixian,2025,2025年06月,32.0,22.0,27.0,543.8
开县,kaixian,2025,2025年07月,38.0,26.0,32.0,206.0
开县,kaixian,2025,2025年08月,38.0,27.0,32.5,619.2
